site_id,latitude,longitude,Cclim_i,n_years_used,mean_P_mm,mean_PET_mm,P_PET_ratio,walsh_lawler_PCI,extreme_days_per_year,adequacy_score,seasonal_score,extreme_score
GA_001,31.65,-84.55,0.6612111215806752,24,1152.6,1456.0,0.792,9.07,13.25,0.7917,0.7068,0.4417
GA_002,31.65,-84.325,0.6612111215806752,24,1152.6,1456.0,0.792,9.07,13.25,0.7917,0.7068,0.4417
GA_003,31.65,-84.1,0.6612111215806752,24,1152.6,1456.0,0.792,9.07,13.25,0.7917,0.7068,0.4417
GA_004,31.65,-83.875,0.6612111215806752,24,1152.6,1456.0,0.792,9.07,13.25,0.7917,0.7068,0.4417
GA_005,31.65,-83.65,0.6612111215806752,24,1152.6,1456.0,0.792,9.07,13.25,0.7917,0.7068,0.4417
GA_006,31.916667,-84.55,0.6612111215806752,24,1152.6,1456.0,0.792,9.07,13.25,0.7917,0.7068,0.4417
GA_007,31.916667,-84.325,0.6612111215806752,24,1152.6,1456.0,0.792,9.07,13.25,0.7917,0.7068,0.4417
GA_008,31.916667,-84.1,0.6612111215806752,24,1152.6,1456.0,0.792,9.07,13.25,0.7917,0.7068,0.4417
GA_009,31.916667,-83.875,0.6612111215806752,24,1152.6,1456.0,0.792,9.07,13.25,0.7917,0.7068,0.4417
GA_010,31.916667,-83.65,0.6612111215806752,24,1152.6,1456.0,0.792,9.07,13.25,0.7917,0.7068,0.4417
GA_011,32.183333,-84.55,0.6612111215806752,24,1152.6,1456.0,0.792,9.07,13.25,0.7917,0.7068,0.4417
GA_012,32.183333,-84.325,0.6612111215806752,24,1152.6,1456.0,0.792,9.07,13.25,0.7917,0.7068,0.4417
GA_013,32.183333,-84.1,0.6612111215806752,24,1152.6,1456.0,0.792,9.07,13.25,0.7917,0.7068,0.4417
GA_014,32.183333,-83.875,0.6612111215806752,24,1152.6,1456.0,0.792,9.07,13.25,0.7917,0.7068,0.4417
GA_015,32.183333,-83.65,0.6612111215806752,24,1152.6,1456.0,0.792,9.07,13.25,0.7917,0.7068,0.4417
GA_016,32.45,-84.55,0.6612111215806752,24,1152.6,1456.0,0.792,9.07,13.25,0.7917,0.7068,0.4417
GA_017,32.45,-84.325,0.6612111215806752,24,1152.6,1456.0,0.792,9.07,13.25,0.7917,0.7068,0.4417
GA_018,32.45,-84.1,0.6612111215806752,24,1152.6,1456.0,0.792,9.07,13.25,0.7917,0.7068,0.4417
GA_019,32.45,-83.875,0.6612111215806752,24,1152.6,1456.0,0.792,9.07,13.25,0.7917,0.7068,0.4417
GA_020,32.45,-83.65,0.6612111215806752,24,1152.6,1456.0,0.792,9.07,13.25,0.7917,0.7068,0.4417
