site_id,latitude,longitude,nearest_well_site_no,nearest_well_dist_m,well_mean_depth_ft,well_depth_std_ft,well_depth_slope_ft_yr,well_n_obs,well_n_years,storage_score,trend_score,responsiveness_bonus,Ni
GA_001,31.65,-84.55,,,,,,0,0,,,,0.5
GA_002,31.65,-84.421429,313440084181402,13720.6,10.933,8.797,1.0156,922,4,0.3644,0.0,0.1,0.3551
GA_003,31.65,-84.292857,313440084181402,8078.2,10.933,8.797,1.0156,922,4,0.3644,0.0,0.1,0.3551
GA_004,31.65,-84.164286,313808084093601,1637.7,30.988,6.563,0.0278,12929,37,1.0,0.9073,0.1,1.0
GA_005,31.65,-84.035714,313521084051001,8255.5,33.322,5.925,0.0802,11931,37,1.0,0.7327,0.1,1.0
GA_006,31.65,-83.907143,314330084005402,13125.3,10.12,7.554,0.0994,12454,37,0.3373,0.6687,0.1,0.5367
GA_007,31.65,-83.778571,313146083491601,13974.0,213.826,5.976,0.5492,12549,37,1.0,0.0,0.1,0.8
GA_008,31.65,-83.65,,,,,,0,0,,,,0.5
GA_009,31.783333,-84.55,,,,,,0,0,,,,0.5
GA_010,31.783333,-84.421429,,,,,,0,0,,,,0.5
GA_011,31.783333,-84.292857,,,,,,0,0,,,,0.5
GA_012,31.783333,-84.164286,,,,,,0,0,,,,0.5
GA_013,31.783333,-84.035714,314330084005402,6781.0,10.12,7.554,0.0994,12454,37,0.3373,0.6687,0.1,0.5367
GA_014,31.783333,-83.907143,314330084005402,12000.7,10.12,7.554,0.0994,12454,37,0.3373,0.6687,0.1,0.5367
GA_015,31.783333,-83.778571,,,,,,0,0,,,,0.5
GA_016,31.783333,-83.65,,,,,,0,0,,,,0.5
GA_017,31.916667,-84.55,,,,,,0,0,,,,0.5
GA_018,31.916667,-84.421429,,,,,,0,0,,,,0.5
GA_019,31.916667,-84.292857,,,,,,0,0,,,,0.5
GA_020,31.916667,-84.164286,,,,,,0,0,,,,0.5
GA_021,31.916667,-84.035714,,,,,,0,0,,,,0.5
GA_022,31.916667,-83.907143,,,,,,0,0,,,,0.5
GA_023,31.916667,-83.778571,,,,,,0,0,,,,0.5
GA_024,31.916667,-83.65,,,,,,0,0,,,,0.5
GA_025,32.05,-84.55,,,,,,0,0,,,,0.5
GA_026,32.05,-84.421429,,,,,,0,0,,,,0.5
GA_027,32.05,-84.292857,,,,,,0,0,,,,0.5
GA_028,32.05,-84.164286,,,,,,0,0,,,,0.5
GA_029,32.05,-84.035714,,,,,,0,0,,,,0.5
GA_030,32.05,-83.907143,,,,,,0,0,,,,0.5
GA_031,32.05,-83.778571,,,,,,0,0,,,,0.5
GA_032,32.05,-83.65,,,,,,0,0,,,,0.5
GA_033,32.183333,-84.55,,,,,,0,0,,,,0.5
GA_034,32.183333,-84.421429,,,,,,0,0,,,,0.5
GA_035,32.183333,-84.292857,,,,,,0,0,,,,0.5
GA_036,32.183333,-84.164286,,,,,,0,0,,,,0.5
GA_037,32.183333,-84.035714,,,,,,0,0,,,,0.5
GA_038,32.183333,-83.907143,,,,,,0,0,,,,0.5
GA_039,32.183333,-83.778571,,,,,,0,0,,,,0.5
GA_040,32.183333,-83.65,,,,,,0,0,,,,0.5
GA_041,32.316667,-84.55,,,,,,0,0,,,,0.5
GA_042,32.316667,-84.421429,,,,,,0,0,,,,0.5
GA_043,32.316667,-84.292857,,,,,,0,0,,,,0.5
GA_044,32.316667,-84.164286,,,,,,0,0,,,,0.5
GA_045,32.316667,-84.035714,,,,,,0,0,,,,0.5
GA_046,32.316667,-83.907143,,,,,,0,0,,,,0.5
GA_047,32.316667,-83.778571,,,,,,0,0,,,,0.5
GA_048,32.316667,-83.65,,,,,,0,0,,,,0.5
GA_049,32.45,-84.55,,,,,,0,0,,,,0.5
GA_050,32.45,-84.421429,,,,,,0,0,,,,0.5
