site_id,latitude,longitude,Si,ei_ssurgo,wtdepannmin,Ni,well_mean_depth_ft,Li,ei_nlcd,nlcd_class,nlcd_class_name,Cclim_i,Ai,dist_road_m,wi_base,risk_penalty,wi,ei_nlcd_extended,ei_imperv,ei,Ci
GA_001,31.65,-84.55,0.3075234375,1,15.0,0.5,,0.0,1,11,Open Water,0.661116422050477,0.4799693512415481,3143.2949822635983,0.38841989724380377,0.12600153243792261,0.339478394961704,0,0,1,0.6115061297516904
GA_002,31.65,-84.421429,0.5580000000000002,0,333.23784,0.3551,10.933,0.5,0,82,Cultivated Crops,0.661116422050477,0.2990534911868948,5727.807268758645,0.4752004869856058,0.08504732544065527,0.4347859565193831,0,0,0,0.656808221762621
GA_003,31.65,-84.292857,0.633075,1,107.0,0.3551,10.933,0.6,0,42,Evergreen Forest,0.661116422050477,0.5920238931570878,3558.8377410846383,0.5566685472811347,0.06039880534214562,0.5230464320538064,0,0,1,0.45509522136858244
GA_004,31.65,-84.164286,0.9650000000000002,0,944.51424,1.0,30.988,0.5,0,82,Cultivated Crops,0.661116422050477,0.2008702799867771,13382.09596957854,0.7437980053055882,0.08995648600066115,0.6768885504539963,0,0,0,0.8098259440026446
GA_005,31.65,-84.035714,0.4241750000000001,1,15.0,1.0,33.322,0.1,0,90,Woody Wetlands,0.661116422050477,0.6959314253902985,3626.552717514626,0.5958096771161163,0.10520342873048509,0.5331284562126977,0,0,1,0.5383137149219404
GA_006,31.65,-83.907143,0.94423,1,84.0,0.5367,10.12,0.5,0,82,Cultivated Crops,0.661116422050477,0.8497087114929509,1076.2870602488824,0.7190677700315141,0.05751456442535246,0.6777109004458421,0,0,1,0.4220582577014098
GA_007,31.65,-83.778571,0.7201000000000001,0,6517.41648,0.8,213.826,0.9,0,71,Grassland/Herbaceous,0.661116422050477,0.8874162483306625,1367.1864363851112,0.7833099005571709,0.015629187583466875,0.771067403185376,0,0,0,0.5525167503338675
GA_008,31.65,-83.65,0.6727250000000001,1,15.0,0.5,,0.1,0,90,Woody Wetlands,0.661116422050477,0.9426999263503376,768.7288955706767,0.5823899522601222,0.09286500368248313,0.5283063071988447,0,0,1,0.4889600147299325
GA_009,31.783333,-84.55,0.347225,1,0.0,0.5,,0.1,0,90,Woody Wetlands,0.661116422050477,0.6005008974984777,1421.415750021747,0.4334100979323432,0.10997495512507613,0.38574584186147887,0,0,1,0.5498998205003045
GA_010,31.783333,-84.421429,0.20955,1,15.0,0.5,,0.1,0,90,Woody Wetlands,0.661116422050477,0.6248008612558169,1074.2734106311868,0.3957525924959441,0.10875995693720916,0.3527105575782963,0,0,1,0.5525398277488367
GA_011,31.783333,-84.292857,0.5580000000000002,0,,0.5,,0.1,0,90,Woody Wetlands,0.661116422050477,0.6845042884883747,3515.5483987172943,0.5092431065808278,0.10577478557558127,0.4553780261763979,0,0,0,0.5405991423023251
GA_012,31.783333,-84.164286,0.204,1,0.0,0.5,,0.1,0,90,Woody Wetlands,0.661116422050477,0.2776903119712133,13533.08546933382,0.34202101010325353,0.12611548440143935,0.29888686473861215,0,0,1,0.6144619376057574
GA_013,31.783333,-84.035714,0.7652000000000002,1,61.0,0.5367,10.12,0.5,0,82,Cultivated Crops,0.661116422050477,0.5558771541228068,5595.542511551685,0.6212840364259926,0.07220614229385966,0.5764235128869138,0,0,1,0.46932456917543863
GA_014,31.783333,-83.907143,0.6505700000000001,1,105.0,0.5367,10.12,0.5,0,82,Cultivated Crops,0.661116422050477,0.7757052811214056,2299.075849558886,0.6198692554757824,0.061214735943929725,0.5819241226820722,0,0,1,0.44735894377571883
GA_015,31.783333,-83.778571,0.2667,0,,0.5,,0.6,0,42,Evergreen Forest,0.661116422050477,0.8189851643079284,2427.4623352033946,0.5170252379537608,0.049050741784603585,0.4916647665107676,0,0,0,0.3637029671384143
