site_id,latitude,longitude,mukey,Si,wtdepannmin,ei_ssurgo
GA_001,31.65,-84.55,334753,0.24775,15.0,1
GA_002,31.65,-84.325,326000,0.76,61.0,1
GA_003,31.65,-84.1,326003,0.88,,0
GA_004,31.65,-83.875,325107,0.76,,0
GA_005,31.65,-83.65,325576,0.64,15.0,1
GA_006,31.916667,-84.55,325995,0.556,,0
GA_007,31.916667,-84.325,326274,0.616,,0
GA_008,31.916667,-84.1,326255,0.14800000000000002,0.0,1
GA_009,31.916667,-83.875,325587,0.616,105.0,1
GA_010,31.916667,-83.65,325617,0.88,129.0,1
GA_011,32.183333,-84.55,126210,1.0,,0
GA_012,32.183333,-84.325,326261,0.88,,0
GA_013,32.183333,-84.1,326264,1.0,,0
GA_014,32.183333,-83.875,325770,0.616,,0
GA_015,32.183333,-83.65,325775,0.14800000000000002,0.0,1
GA_016,32.45,-84.55,126190,1.0,,0
GA_017,32.45,-84.325,126536,0.8799999999999999,152.0,1
GA_018,32.45,-84.1,325758,0.24775,15.0,1
GA_019,32.45,-83.875,325796,0.6519999999999999,,0
GA_020,32.45,-83.65,325898,0.14800000000000002,0.0,1
