cost_model,method,variant,n_sites,p_depth,simulator,optimizer,energy,bitstring,n_selected,selected_sites,total_benefit,total_cost,budget,budget_feasible,excluded_used,approximation_ratio,p_success_optimal,p_success_within_1pct,runtime_seconds,source_file
flat,brute_force,,20,,,,-12.781459738867975,00010000001010010000,4,GA_004;GA_011;GA_013;GA_016,2.825720013219777,2.0,3.0,True,0,,,,4.329531192779541,brute_force_20.json
flat,genetic_algorithm,,20,,,,-12.781459738867975,00010000001010010000,4,GA_004;GA_011;GA_013;GA_016,2.825720013219777,2.0,3.0,True,0,,,,0.09715867042541504,genetic_algorithm_20.json
flat,greedy,,20,,,,-6.828580060893176,00010000001110010010,6,GA_004;GA_011;GA_012;GA_013;GA_016;GA_019,4.054218882912863,3.0,3.0,True,0,,,,0.010013580322265625,greedy_20.json
flat,simulated_annealing,,20,,,,-12.781459738867975,00010000001010010000,4,GA_004;GA_011;GA_013;GA_016,2.825720013219777,2.0,3.0,True,0,,,,0.30324339866638184,simulated_annealing_20.json
flat,qaoa_hardware_fixed_params,,20,1,ibm_kingston,,-12.702913786394008,00010100000010010000,4,GA_004;GA_006;GA_013;GA_016,2.712972597434651,2.0,3.0,True,0,0.993855,,,8.166,qaoa_hardware_n20_flat_p1_20260406_014930.json
flat,qaoa_native_diagonal,,20,1,Statevector+precomputed_diagonal,scipy_COBYLA,-12.78145980834961,00001001010000001000,4,GA_005;GA_008;GA_010;GA_017,2.232315350139323,2.0,3.0,True,4,1.0,0.000205,0.002745,10.3763,qaoa_native_diagonal_n20_flat_p1.json
flat,qaoa_native_diagonal,,20,2,Statevector+precomputed_diagonal,scipy_COBYLA,-12.63827133178711,00001001000000001000,3,GA_005;GA_008;GA_017,1.6094246607147964,1.5,3.0,True,3,0.988797,5.1e-05,0.000684,35.6017,qaoa_native_diagonal_n20_flat_p2.json
flat,qaoa_native_diagonal,,20,3,Statevector+precomputed_diagonal,scipy_COBYLA,-12.78145980834961,00001001010000001000,4,GA_005;GA_008;GA_010;GA_017,2.232315350139323,2.0,3.0,True,4,1.0,0.000983,0.010603,57.8143,qaoa_native_diagonal_n20_flat_p3.json
flat,qaoa_vqe_estimator,,20,1,StatevectorEstimator+VQE,COBYLA,-0.8841890096664429,01001011010001001000,7,GA_002;GA_005;GA_007;GA_008;GA_010;GA_014;GA_017,3.906313360655449,3.5,3.0,False,5,0.069177,1e-06,1.1e-05,1117.8876,qaoa_vqe_estimator_n20_flat_p1.json
flat,qaoa_top10,baseline,20,1,native_diagonal,,-0.88418901,01001011010001001000,7,GA_002;GA_005;GA_007;GA_008;GA_010;GA_014;GA_017,3.906313,3.5,,False,,1.0,,,10.3763,top10_baseline_n20_flat_p1.json
flat,qaoa_top10,baseline,20,2,native_diagonal,,0.0,00000000000000000000,0,,0.0,0.0,,True,,0.988797,,,35.6017,top10_baseline_n20_flat_p2.json
flat,qaoa_top10,baseline,20,3,native_diagonal,,-6.8920927,01001001010000101000,6,GA_002;GA_005;GA_008;GA_010;GA_015;GA_017,3.170911,3.0,,True,,1.0,,,57.8143,top10_baseline_n20_flat_p3.json
flat,qaoa_top10,cvar,20,1,native_diagonal,,-12.78145981,00001001010000001000,4,GA_005;GA_008;GA_010;GA_017,2.232315,2.0,,True,,1.0,,,90.8927,top10_cvar_n20_flat_p1_20260407_022742.json
flat,qaoa_top10,choice_b,20,1,native_diagonal,,-2.40812998,00001010000001001000,4,GA_005;GA_007;GA_014;GA_017,2.418189,2.0,,True,,-0.61118,,,49.1055,top10_hydraulic_diversity_n20_flat_p1_20260407_022744.json
flat,qaoa_top10,baseline,20,1,mps,,-12.78145981,00001001010000001000,4,GA_005;GA_008;GA_010;GA_017,2.232315,2.0,,True,,0.849549,,,7.581,top10_mps_n20_flat_bd64_p1_20260407_022936.json
flat,qaoa_top10,baseline,20,1,mps,,-12.78145981,00001001010000001000,4,GA_005;GA_008;GA_010;GA_017,2.232315,2.0,,True,,0.988797,,,1291.0963,top10_mps_n20_flat_bd64_p1_20260407_030347.json
flat,qaoa_top10,baseline,20,1,noisy_aer,,-12.78145974,00010000001010010000,4,GA_004;GA_011;GA_013;GA_016,2.82572,2.0,,True,,1.0,,,0.5988,top10_noisy_aer_n20_flat_p1_20260407_023419.json
flat,qaoa_top10,choice_a,20,1,native_diagonal,,2.58740667,00001000010001001000,4,GA_005;GA_010;GA_014;GA_017,2.463833,2.0,,True,,-0.208238,,,53.7279,top10_spatial_diversity_n20_flat_p1_20260407_022743.json
flat,simulated_annealing,,50,,,,-12.748215394189042,00010010000000000000000000000000000100000000000010,4,GA_004;GA_007;GA_036;GA_049,2.771555635902755,2.0,3.0,True,0,,,,0.3303811550140381,best_classical_50.json
flat,genetic_algorithm,,50,,,,-12.748215394189042,00010010000000000000000000000000000100000000000010,4,GA_004;GA_007;GA_036;GA_049,2.771555635902755,2.0,3.0,True,0,,,,0.10027098655700684,genetic_algorithm_50.json
flat,greedy,,50,,,,-6.610863559322394,00010010000000000000000000000000110000000000000011,6,GA_004;GA_007;GA_033;GA_034;GA_049;GA_050,4.097458375015474,3.0,3.0,True,0,,,,5.6743621826171875e-05,greedy_50.json
flat,simulated_annealing,,50,,,,-12.748215394189042,00010010000000000000000000000000000100000000000010,4,GA_004;GA_007;GA_036;GA_049,2.771555635902755,2.0,3.0,True,0,,,,0.3303811550140381,simulated_annealing_50.json
flat,qaoa_hardware_fixed_params,,50,1,ibm_kingston,,64.94989061903674,00010100100100000001000010000000101000000001100001,11,GA_004;GA_006;GA_009;GA_012;GA_020;GA_025;GA_033;GA_035;GA_044;GA_045;GA_050,5.7685826264087,5.5,3.0,False,0,-5.094822,,,8.5697,qaoa_hardware_n50_flat_p1_20260423_021744.json
flat,qaoa_top10,baseline,50,1,mps,,-11.92974658,00000000000000000001000010000000000100000001000000,4,GA_020;GA_025;GA_036;GA_044,2.133123,2.0,,True,,0.935797,,,3.804,top10_mps_n50_flat_bd32_p1_20260423_020855.json
flat,qaoa_top10,choice_a,50,1,mps,,-12.23742126,01000000000000000100000000000000010100000000000000,4,GA_002;GA_018;GA_034;GA_036,2.368252,2.0,,True,,0.959932,,,3.8121,top10_mps_n50_flat_bd32_p1_20260423_020928_spatial_diversity_choiceA.json
flat,qaoa_top10,choice_b,50,1,mps,,-12.077126,00000000001000100000000001000000100000000000000000,4,GA_011;GA_015;GA_026;GA_033,2.19921,2.0,,True,,0.947358,,,3.7784,top10_mps_n50_flat_bd32_p1_20260423_020933_hydraulic_diversity_choiceB.json
real,brute_force,,20,,,,-11.012666804031108,00010000001010010000,4,GA_004;GA_011;GA_013;GA_016,2.825720013219777,1.4799718838422344,2.6840435761596755,True,0,,,,4.1804358959198,brute_force_20.json
real,genetic_algorithm,,20,,,,-11.012666804031108,00010000001010010000,4,GA_004;GA_011;GA_013;GA_016,2.825720013219777,1.4799718838422344,2.6840435761596755,True,0,,,,0.08774185180664062,genetic_algorithm_20.json
real,greedy,,20,,,,-6.896451350875824,00010000001111010010,7,GA_004;GA_011;GA_012;GA_013;GA_014;GA_016;GA_019,4.6485996553528635,2.6261979639492994,2.6840435761596755,True,0,,,,6.937980651855469e-05,greedy_20.json
real,simulated_annealing,,20,,,,-11.012666804031108,00010000001010010000,4,GA_004;GA_011;GA_013;GA_016,2.825720013219777,1.4799718838422344,2.6840435761596755,True,0,,,,0.2919185161590576,simulated_annealing_20.json
real,qaoa_hardware_fixed_params,,20,1,ibm_kingston,,-10.701595739327601,00000010000101010000,4,GA_007;GA_012;GA_014;GA_016,2.535194719795809,1.4722770855846843,2.6840435761596755,True,0,0.971753,,,7.6415,qaoa_hardware_n20_real_p1_20260424_105309.json
real,qaoa_native_diagonal,,20,1,Statevector+precomputed_diagonal,COBYLA,-11.012666702270508,00001001010000001000,4,GA_005;GA_008;GA_010;GA_017,2.232315350139323,1.816550499304524,2.6840435761596755,True,4,1.0,0.000352,0.003649,61.4057,qaoa_native_diagonal_n20_real_p1.json
real,qaoa_native_diagonal,,20,2,Statevector+precomputed_diagonal,COBYLA,-11.012666702270508,00001001010000001000,4,GA_005;GA_008;GA_010;GA_017,2.232315350139323,1.816550499304524,2.6840435761596755,True,4,1.0,0.000349,0.003628,150.9282,qaoa_native_diagonal_n20_real_p2.json
real,qaoa_native_diagonal,,20,2,Statevector+precomputed_diagonal,SPSA,5.1649885177612305,10010000001000000000,3,GA_001;GA_004;GA_011,1.787808694770455,1.3141196477537929,2.6840435761596755,True,1,-0.469004,1e-06,1.2e-05,92.7782,qaoa_native_diagonal_n20_real_p2_spsa.json
real,qaoa_native_diagonal,,20,3,Statevector+precomputed_diagonal,COBYLA,-11.012666702270508,00001001010000001000,4,GA_005;GA_008;GA_010;GA_017,2.232315350139323,1.816550499304524,2.6840435761596755,True,4,1.0,0.000328,0.00356,559.0102,qaoa_native_diagonal_n20_real_p3.json
real,qaoa_native_diagonal,,20,3,Statevector+precomputed_diagonal,SPSA,-5.312536239624023,01001000010001010000,5,GA_002;GA_005;GA_010;GA_014;GA_016,2.9638164467850534,2.1834837188316074,2.6840435761596755,True,3,0.482402,0.0,2e-06,133.5894,qaoa_native_diagonal_n20_real_p3_spsa.json
real,qaoa_top10,baseline,20,1,native_diagonal,,-7.43649912,00001000000000001000,2,GA_005;GA_017,1.246561,0.833207,,True,,1.0,,,61.4057,top10_baseline_n20_real_p1.json
real,qaoa_top10,baseline,20,2,native_diagonal,,-7.43649912,00001000000000001000,2,GA_005;GA_017,1.246561,0.833207,,True,,1.0,,,150.9282,top10_baseline_n20_real_p2.json
real,qaoa_top10,baseline,20,3,native_diagonal,,-7.43649912,00001000000000001000,2,GA_005;GA_017,1.246561,0.833207,,True,,1.0,,,559.0102,top10_baseline_n20_real_p3.json
real,qaoa_top10,cvar,20,1,native_diagonal,,-11.0126667,00001001010000001000,4,GA_005;GA_008;GA_010;GA_017,2.232315,1.81655,,True,,1.0,,,135.3537,top10_cvar_n20_real_p1_20260424_105724.json
real,qaoa_top10,choice_b,20,1,native_diagonal,,-0.66262752,00001010000001001000,4,GA_005;GA_007;GA_014;GA_017,2.418189,1.576084,,True,,-0.891954,,,46.5541,top10_hydraulic_diversity_n20_real_p1_20260424_105723.json
real,qaoa_top10,baseline,20,1,mps,,-11.0126667,00001001010000001000,4,GA_005;GA_008;GA_010;GA_017,2.232315,1.81655,,True,,1.0,,,1032.434,top10_mps_n20_real_bd64_p1_20260424_105552.json
real,qaoa_top10,baseline,20,1,noisy_aer,,-10.94463097,00010000000010010010,4,GA_004;GA_013;GA_016;GA_019,2.737251,1.474429,,True,,0.993822,,,0.6005,top10_noisy_aer_n20_real_p1_20260424_105356.json
real,qaoa_top10,choice_a,20,1,native_diagonal,,5.10225195,00001010010001001000,5,GA_005;GA_007;GA_010;GA_014;GA_017,3.041079,2.050914,,True,,-0.993167,,,45.4374,top10_spatial_diversity_n20_real_p1_20260424_105724.json
real,simulated_annealing,,50,,,,-11.830320040533337,00010010000000000000000000000000000000000000000010,3,GA_004;GA_007;GA_049,2.122939514704142,1.738677653780457,2.819608829857445,True,0,,,,0.31492042541503906,best_classical_50.json
real,genetic_algorithm,,50,,,,-11.830320040533337,00010010000000000000000000000000000000000000000010,3,GA_004;GA_007;GA_049,2.122939514704142,1.738677653780457,2.819608829857445,True,0,,,,0.09560513496398926,genetic_algorithm_50.json
real,greedy,,50,,,,-7.420989135433912,00000000000000000101000000000000110100000000000011,7,GA_018;GA_020;GA_033;GA_034;GA_036;GA_049;GA_050,4.567786470640252,2.675954952924216,2.819608829857445,True,0,,,,4.506111145019531e-05,greedy_50.json
real,simulated_annealing,,50,,,,-11.830320040533337,00010010000000000000000000000000000000000000000010,3,GA_004;GA_007;GA_049,2.122939514704142,1.738677653780457,2.819608829857445,True,0,,,,0.31492042541503906,simulated_annealing_50.json
real,qaoa_hardware_fixed_params,,50,1,ibm_kingston,,54.102778952929796,00000000001000110000000000100000010000101010100110,11,GA_011;GA_015;GA_016;GA_027;GA_034;GA_039;GA_041;GA_043;GA_045;GA_048;GA_049,6.000232616190022,4.813290266608071,2.819608829857445,False,0,-4.57323,,,9.7583,qaoa_hardware_n50_real_p1_20260424_105351.json
real,qaoa_top10,baseline,50,1,mps,,-11.72321483,00010000000000000000000000000000000100000000000010,3,GA_004;GA_036;GA_049,2.000488,1.546157,,True,,0.990947,,,3.8056,top10_mps_n50_real_bd32_p1_20260423_021140.json
real,qaoa_top10,choice_a,50,1,mps,,-11.29574684,00010010000000000000000000000000000000000000000000,2,GA_004;GA_007,1.447956,1.362343,,True,,0.954813,,,3.8649,top10_mps_n50_real_bd32_p1_20260423_021144_spatial_diversity_choiceA.json
real,qaoa_top10,choice_b,50,1,mps,,-10.67438718,00000000000000000100000001000000000000000100000000,3,GA_018;GA_026;GA_042,1.866179,1.277767,,True,,0.902291,,,3.8749,top10_mps_n50_real_bd32_p1_20260423_021149_hydraulic_diversity_choiceB.json
