site_id,latitude,longitude,Si,ei_ssurgo,Ni,Li,ei_nlcd,Cclim_i,Ai,wi,Ci,ei
GA_001,31.65,-84.55,0.24775,1,0.5,0.0,1,0.65,0.6856705017736402,0.399675575266046,0.5,1
GA_002,31.65,-84.325,0.76,1,0.3644,0.2,0,0.65,0.719406120046301,0.5545109180069452,0.5,1
GA_003,31.65,-84.1,0.88,0,1.0,0.0,0,0.65,0.106926821721667,0.6275390232582501,0.5,0
GA_004,31.65,-83.875,0.76,0,1.0,0.6,0,0.65,0.8288494732071109,0.7898274209810666,0.5,0
GA_005,31.65,-83.65,0.64,1,0.5,0.1,0,0.65,0.9231271104429324,0.5679690665664399,0.5,1
GA_006,31.916667,-84.55,0.556,0,0.5,0.6,0,0.65,0.80477909092507,0.6000168636387606,0.5,0
GA_007,31.916667,-84.325,0.616,0,0.5,0.6,0,0.65,0.746878828287824,0.6093318242431736,0.5,0
GA_008,31.916667,-84.1,0.148,1,0.5,0.1,0,0.65,0.807434430282381,0.4030151645423572,0.5,1
GA_009,31.916667,-83.875,0.616,1,0.5,0.1,0,0.65,0.8292643875072755,0.5466896581260914,0.5,1
GA_010,31.916667,-83.65,0.88,1,0.5,0.5,0,0.65,0.6983475093999023,0.6662521264099853,0.5,1
GA_011,32.183333,-84.55,1.0,0,0.5,0.6,0,0.65,0.7273817862502852,0.7216072679375428,0.5,0
GA_012,32.183333,-84.325,0.88,0,0.5,0.5,0,0.65,0.7625350778359271,0.6758802616753891,0.5,0
GA_013,32.183333,-84.1,1.0,0,0.5,0.5,0,0.65,0.728444745931037,0.7067667118896556,0.5,0
GA_014,32.183333,-83.875,0.616,0,0.5,0.5,0,0.65,0.9637360905524324,0.6268604135828648,0.5,0
GA_015,32.183333,-83.65,0.148,1,0.5,0.5,0,0.65,0.8124184513312706,0.46376276769969055,0.5,1
GA_016,32.45,-84.55,1.0,0,0.5,0.7,0,0.65,0.8654645754003956,0.7573196863100594,0.5,0
GA_017,32.45,-84.325,0.8799999999999999,1,0.5,0.9,0,0.65,0.8283384533521642,0.7457507680028247,0.5,1
GA_018,32.45,-84.1,0.24775,1,0.5,0.1,0,0.65,0.0,0.311825,0.5,1
GA_019,32.45,-83.875,0.6519999999999999,0,0.5,0.5,0,0.65,0.9050984310763172,0.6288647646614476,0.5,0
GA_020,32.45,-83.65,0.148,1,0.5,0.5,0,0.65,0.9768385120148048,0.48842577680222066,0.5,1
