site_id,latitude,longitude,mukey
GA_001,31.65,-84.55,334753
GA_002,31.65,-84.421429,325995
GA_003,31.65,-84.292857,326020
GA_004,31.65,-84.164286,326022
GA_005,31.65,-84.035714,326012
GA_006,31.65,-83.907143,325130
GA_007,31.65,-83.778571,325583
GA_008,31.65,-83.65,325576
GA_009,31.783333,-84.55,326001
GA_010,31.783333,-84.421429,325999
GA_011,31.783333,-84.292857,325996
GA_012,31.783333,-84.164286,325993
GA_013,31.783333,-84.035714,326000
GA_014,31.783333,-83.907143,325105
GA_015,31.783333,-83.778571,325614
GA_016,31.783333,-83.65,325576
GA_017,31.916667,-84.55,325995
GA_018,31.916667,-84.421429,326009
GA_019,31.916667,-84.292857,326279
GA_020,31.916667,-84.164286,326268
GA_021,31.916667,-84.035714,326272
GA_022,31.916667,-83.907143,325593
GA_023,31.916667,-83.778571,325576
GA_024,31.916667,-83.65,325617
GA_025,32.05,-84.55,2455431
GA_026,32.05,-84.421429,326265
GA_027,32.05,-84.292857,326279
GA_028,32.05,-84.164286,326255
GA_029,32.05,-84.035714,326279
GA_030,32.05,-83.907143,325797
GA_031,32.05,-83.778571,325805
GA_032,32.05,-83.65,325761
GA_033,32.183333,-84.55,126210
GA_034,32.183333,-84.421429,126210
GA_035,32.183333,-84.292857,326282
GA_036,32.183333,-84.164286,326268
GA_037,32.183333,-84.035714,325759
GA_038,32.183333,-83.907143,325758
GA_039,32.183333,-83.778571,325765
GA_040,32.183333,-83.65,325775
GA_041,32.316667,-84.55,126220
GA_042,32.316667,-84.421429,126209
GA_043,32.316667,-84.292857,326260
GA_044,32.316667,-84.164286,325783
GA_045,32.316667,-84.035714,325759
GA_046,32.316667,-83.907143,325758
GA_047,32.316667,-83.778571,325898
GA_048,32.316667,-83.65,325888
GA_049,32.45,-84.55,126190
GA_050,32.45,-84.421429,126210
