cokey,mukey,comppct_r,compname,hydgrp,drainagecl,slope_r,chkey,hzdept_r,hzdepb_r,ksat_r,awc_r,sandtotal_r,claytotal_r,dbthirdbar_r,om_r
26677910,126171,60,Cowarts,C,Well drained,19,79648952,0,36,28,0.08,84.3,6.5,1.5,1.25
26677910,126171,60,Cowarts,C,Well drained,19,79648953,36,51,9,0.13,66.8,18,1.4,0.6
26677910,126171,60,Cowarts,C,Well drained,19,79648954,51,94,8,0.13,53.5,32.5,1.4,0.25
26677910,126171,60,Cowarts,C,Well drained,19,79648955,94,203,2,0.12,55.8,26.5,1.6,0.25
26677911,126171,40,Ailey,C,Well drained,19,79648957,0,23,92,0.04,81.9,7.5,1.4,0.75
26677911,126171,40,Ailey,C,Well drained,19,79648958,23,61,92,0.04,81.9,7.5,1.4,0.25
26677911,126171,40,Ailey,C,Well drained,19,79648959,61,97,9,0.11,57,25,1.63,0.25
26677911,126171,40,Ailey,C,Well drained,19,79648960,97,114,1,0.08,55.8,26.5,1.75,0.25
26677911,126171,40,Ailey,C,Well drained,19,79648956,114,203,1,0.06,59.6,22.5,1.88,0.25
26677922,126190,100,Lakeland,A,Excessively drained,19,79648992,0,56,92,0.07,93.6,5,1.5,0.75
26677922,126190,100,Lakeland,A,Excessively drained,19,79648993,56,203,92,0.05,95,3.5,1.55,0.25
26677933,126209,100,Troup,A,Somewhat excessively drained,4,79649026,0,173,92,0.1,83.8,7,1.5,0.75
26677933,126209,100,Troup,A,Somewhat excessively drained,4,79649027,173,203,9,0.12,57,25,1.5,0.25
26677887,126210,100,Troup,A,Somewhat excessively drained,9,79648894,0,173,92,0.1,83.8,7,1.5,0.75
26677887,126210,100,Troup,A,Somewhat excessively drained,9,79648895,173,203,9,0.12,57,25,1.5,0.25
26677901,126220,60,Vaucluse,C,Well drained,19,79648920,0,10,92,0.06,84.9,6,1.45,0.75
26677901,126220,60,Vaucluse,C,Well drained,19,79648919,10,25,92,0.06,84.9,6,1.45,0.25
26677901,126220,60,Vaucluse,C,Well drained,19,79648921,25,71,9,0.13,55.8,26.5,1.55,0.25
26677901,126220,60,Vaucluse,C,Well drained,19,79648918,71,152,2,0.06,54.1,31.5,1.85,0.25
26677901,126220,60,Vaucluse,C,Well drained,19,79648917,152,203,28,0.06,67.2,17.5,1.73,0.25
26677902,126220,40,Ailey,C,Well drained,19,79648926,0,23,92,0.04,81.9,7.5,1.4,0.75
26677902,126220,40,Ailey,C,Well drained,19,79648922,23,61,92,0.04,81.9,7.5,1.4,0.25
26677902,126220,40,Ailey,C,Well drained,19,79648923,61,97,9,0.11,57,25,1.63,0.25
26677902,126220,40,Ailey,C,Well drained,19,79648924,97,114,1,0.08,55.8,26.5,1.75,0.25
26677902,126220,40,Ailey,C,Well drained,19,79648925,114,203,1,0.06,59.6,22.5,1.88,0.25
26679535,126532,100,Cowarts,C,Well drained,19,79655075,0,23,28,0.08,84.3,6.5,1.5,0.75
26679535,126532,100,Cowarts,C,Well drained,19,79655076,23,41,9,0.13,67.9,12.5,1.4,0.25
26679535,126532,100,Cowarts,C,Well drained,19,79655077,41,86,8,0.13,55.5,30,1.4,0.25
26679535,126532,100,Cowarts,C,Well drained,19,79655078,86,152,1,0.12,55.8,26.5,1.73,0.25
26679539,126536,100,Fuquay,B,Well drained,3,79655088,0,25,92,0.07,77.7,6,1.65,0.75
26679539,126536,100,Fuquay,B,Well drained,3,79655089,25,86,92,0.07,77.7,6,1.65,0.25
26679539,126536,100,Fuquay,B,Well drained,3,79655090,86,107,9,0.14,65.9,15,1.5,0.25
26679539,126536,100,Fuquay,B,Well drained,3,79655091,107,165,1,0.12,55.1,27.5,1.5,0.25
26679544,126548,100,Lakeland,A,Excessively drained,3,79655103,0,23,92,0.07,93.6,5,1.5,0.75
26679544,126548,100,Lakeland,A,Excessively drained,3,79655104,23,36,92,0.07,93.6,5,1.5,0.25
26679544,126548,100,Lakeland,A,Excessively drained,3,79655105,36,203,92,0.05,95,3.5,1.55,0.25
26513546,325105,80,Dothan,B,Well drained,1,79104806,0,30,28,0.08,85.7,5.3,1.58,0.25
26513546,325105,80,Dothan,B,Well drained,1,79104807,30,61,9,0.14,61.8,29.8,1.61,0.15
26513546,325105,80,Dothan,B,Well drained,1,79104808,61,86,9,0.14,61.8,29.8,1.61,0.15
26513546,325105,80,Dothan,B,Well drained,1,79104809,86,122,9,0.14,61.8,30,1.61,0.15
26513546,325105,80,Dothan,B,Well drained,1,79104810,122,165,2.7,0.09,58,34,1.67,0.1
26513527,325107,100,Esto,C,Well drained,4,79104749,0,13,92,0.08,81.7,9.5,1.55,0.75
26513527,325107,100,Esto,C,Well drained,4,79104750,13,33,9,0.15,52.3,35.5,1.6,0.25
26513527,325107,100,Esto,C,Well drained,4,79104751,33,157,0.9,0.15,23.3,47.5,1.58,0.25
26513561,325113,80,Fuquay,B,Well drained,3,79104891,0,25,92,0.07,85.7,5.3,1.59,1
26513561,325113,80,Fuquay,B,Well drained,3,79104886,25,56,92,0.07,87.2,6.1,1.65,0.15
26513561,325113,80,Fuquay,B,Well drained,3,79104887,56,71,92,0.07,87.2,6.1,1.65,0.15
26513561,325113,80,Fuquay,B,Well drained,3,79104888,71,91,14,0.14,81.3,15.4,1.64,0.15
26513561,325113,80,Fuquay,B,Well drained,3,79104889,91,109,9,0.12,61.8,29.8,1.66,0.15
26513561,325113,80,Fuquay,B,Well drained,3,79104890,109,165,2.7,0.12,61.8,29.8,1.68,0.15
26513556,325127,80,Pelham,B/D,Poorly drained,1,79104859,0,15,92,0.07,86,7.5,1.6,1.5
26513556,325127,80,Pelham,B/D,Poorly drained,1,79104857,15,41,92,0.07,86,7.5,1.6,0.25
26513556,325127,80,Pelham,B/D,Poorly drained,1,79104860,41,53,92,0.07,86,7.5,1.6,0.25
26513556,325127,80,Pelham,B/D,Poorly drained,1,79104861,53,66,92,0.07,86,7.5,1.6,0.25
26513556,325127,80,Pelham,B/D,Poorly drained,1,79104856,66,86,9,0.12,63.1,18,1.5,0.25
26513556,325127,80,Pelham,B/D,Poorly drained,1,79104858,86,127,9,0.12,59.6,22.5,1.45,0.25
26513556,325127,80,Pelham,B/D,Poorly drained,1,79104853,127,142,9,0.12,59.6,22.5,1.45,0.25
26513556,325127,80,Pelham,B/D,Poorly drained,1,79104854,142,173,9,0.12,59.6,22.5,1.45,0.25
26513556,325127,80,Pelham,B/D,Poorly drained,1,79104855,173,203,9,0.12,63.1,18,1.45,0.25
26513565,325130,80,Stilson,A,Moderately well drained,1,79104915,0,23,92,0.1,85.7,5.3,1.45,1
26513565,325130,80,Stilson,A,Moderately well drained,1,79104909,23,66,92,0.1,87.2,6.1,1.5,0.15
26513565,325130,80,Stilson,A,Moderately well drained,1,79104911,66,89,28,0.14,74.6,18.1,1.5,0.15
26513565,325130,80,Stilson,A,Moderately well drained,1,79104912,89,122,9,0.13,61.8,29.8,1.68,0.15
26513565,325130,80,Stilson,A,Moderately well drained,1,79104913,122,155,9,0.13,61.8,29.8,1.68,0.15
26513565,325130,80,Stilson,A,Moderately well drained,1,79104914,155,196,9,0.16,61.8,29.8,1.5,0.15
26513565,325130,80,Stilson,A,Moderately well drained,1,79104910,196,203,9,0.16,61.8,29.8,1.5,0.15
26513554,325132,85,Tifton,B,Well drained,3,79104843,0,28,91.5,0.11,84.1,6.5,1.62,0.75
26513554,325132,85,Tifton,B,Well drained,3,79104844,28,56,28,0.17,70.5,19.5,1.6,0.5
26513554,325132,85,Tifton,B,Well drained,3,79104847,56,102,9,0.16,63.5,27,1.6,0.25
26513554,325132,85,Tifton,B,Well drained,3,79104848,102,127,2.7,0.09,64.2,27.9,1.68,0.12
26513554,325132,85,Tifton,B,Well drained,3,79104849,127,152,2.7,0.09,62.2,29.9,1.68,0.12
