cokey,chkey,texdesc,texcl
26677910,79648952,Loamy sand,Loamy sand
26677910,79648953,Sandy loam,Sandy loam
26677910,79648954,Sandy clay loam,Sandy clay loam
26677910,79648955,Sandy clay loam,Sandy clay loam
26677911,79648957,Loamy coarse sand,Loamy coarse sand
26677911,79648958,Loamy coarse sand,Loamy coarse sand
26677911,79648959,Sandy clay loam,Sandy clay loam
26677911,79648960,Sandy clay loam,Sandy clay loam
26677911,79648956,Sandy clay loam,Sandy clay loam
26677922,79648992,Sand,Sand
26677922,79648993,Sand,Sand
26677933,79649026,Loamy sand,Loamy sand
26677933,79649027,Sandy clay loam,Sandy clay loam
26677887,79648894,Loamy sand,Loamy sand
26677887,79648895,Sandy clay loam,Sandy clay loam
26677901,79648920,Loamy sand,Loamy sand
26677901,79648919,Loamy sand,Loamy sand
26677901,79648918,Sandy clay loam,Sandy clay loam
26677901,79648917,Sandy loam,Sandy loam
26677901,79648921,Sandy clay loam,Sandy clay loam
26677902,79648926,Loamy coarse sand,Loamy coarse sand
26677902,79648922,Loamy coarse sand,Loamy coarse sand
26677902,79648923,Sandy clay loam,Sandy clay loam
26677902,79648924,Sandy clay loam,Sandy clay loam
26677902,79648925,Sandy clay loam,Sandy clay loam
26679535,79655077,Sandy clay loam,Sandy clay loam
26679535,79655078,Sandy clay loam,Sandy clay loam
26679535,79655076,Sandy loam,Sandy loam
26679535,79655075,Loamy sand,Loamy sand
26679539,79655091,Sandy clay loam,Sandy clay loam
26679539,79655090,Sandy loam,Sandy loam
26679539,79655088,Loamy sand,Loamy sand
26679539,79655089,Loamy sand,Loamy sand
26679544,79655103,Sand,Sand
26679544,79655104,Sand,Sand
26679544,79655105,Sand,Sand
26513546,79104806,Loamy sand,Loamy sand
26513546,79104807,Sandy clay loam,Sandy clay loam
26513546,79104808,Sandy clay loam,Sandy clay loam
26513546,79104809,Sandy clay loam,Sandy clay loam
26513546,79104810,Sandy clay loam,Sandy clay loam
26513527,79104749,Loamy sand,Loamy sand
26513527,79104750,Sandy clay,Sandy clay
26513527,79104751,Clay,Clay
26513561,79104886,Loamy sand,Loamy sand
26513561,79104887,Loamy sand,Loamy sand
26513561,79104888,Sandy loam,Sandy loam
26513561,79104889,Sandy clay loam,Sandy clay loam
26513561,79104890,Sandy clay loam,Sandy clay loam
26513561,79104891,Loamy sand,Loamy sand
26513556,79104853,Sandy clay loam,Sandy clay loam
26513556,79104854,Sandy clay loam,Sandy clay loam
26513556,79104855,Sandy loam,Sandy loam
26513556,79104856,Sandy loam,Sandy loam
26513556,79104857,Loamy sand,Loamy sand
26513556,79104858,Sandy clay loam,Sandy clay loam
26513556,79104859,Loamy sand,Loamy sand
26513556,79104860,Loamy sand,Loamy sand
26513556,79104861,Loamy sand,Loamy sand
26513565,79104909,Loamy sand,Loamy sand
26513565,79104910,Sandy clay loam,Sandy clay loam
26513565,79104911,Sandy loam,Sandy loam
26513565,79104912,Sandy clay loam,Sandy clay loam
26513565,79104913,Sandy clay loam,Sandy clay loam
26513565,79104914,Sandy clay loam,Sandy clay loam
