cokey,chkey,texdesc,texcl
26677922,79648992,Sand,Sand
26677922,79648993,Sand,Sand
26677933,79649026,Loamy sand,Loamy sand
26677933,79649027,Sandy clay loam,Sandy clay loam
26677887,79648894,Loamy sand,Loamy sand
26677887,79648895,Sandy clay loam,Sandy clay loam
26677901,79648920,Loamy sand,Loamy sand
26677901,79648919,Loamy sand,Loamy sand
26677901,79648918,Sandy clay loam,Sandy clay loam
26677901,79648917,Sandy loam,Sandy loam
26677901,79648921,Sandy clay loam,Sandy clay loam
26677902,79648926,Loamy coarse sand,Loamy coarse sand
26677902,79648922,Loamy coarse sand,Loamy coarse sand
26677902,79648923,Sandy clay loam,Sandy clay loam
26677902,79648924,Sandy clay loam,Sandy clay loam
26677902,79648925,Sandy clay loam,Sandy clay loam
26513546,79104806,Loamy sand,Loamy sand
26513546,79104807,Sandy clay loam,Sandy clay loam
26513546,79104808,Sandy clay loam,Sandy clay loam
26513546,79104809,Sandy clay loam,Sandy clay loam
26513546,79104810,Sandy clay loam,Sandy clay loam
26513565,79104909,Loamy sand,Loamy sand
26513565,79104910,Sandy clay loam,Sandy clay loam
26513565,79104911,Sandy loam,Sandy loam
26513565,79104912,Sandy clay loam,Sandy clay loam
26513565,79104913,Sandy clay loam,Sandy clay loam
26513565,79104914,Sandy clay loam,Sandy clay loam
26513565,79104915,Loamy sand,Loamy sand
26543323,79205933,Loamy sand,Loamy sand
26543323,79205934,Loamy sand,Loamy sand
26543323,79205935,Loamy sand,Loamy sand
26543323,79205936,Sandy clay loam,Sandy clay loam
26543323,79205937,Paragravelly sandy clay loam,Sandy clay loam
26543323,79205938,Paragravelly sandy clay loam,Sandy clay loam
26513225,79104138,Sandy clay loam,Sandy clay loam
26513225,79104139,Sandy clay loam,Sandy clay loam
26513225,79104140,Sandy loam,Sandy loam
26513225,79104141,Sandy loam,Sandy loam
26543316,79205894,Loamy sand,Loamy sand
26543316,79205895,Loamy sand,Loamy sand
26543316,79205896,Sandy loam,Sandy loam
26543316,79205897,Sandy clay loam,Sandy clay loam
26543316,79205898,Sandy clay loam,Sandy clay loam
26543316,79205899,Sandy clay loam,Sandy clay loam
26543319,79205911,Loamy sand,Loamy sand
26543319,79205912,Loamy sand,Loamy sand
26543319,79205913,Sandy loam,Sandy loam
26543319,79205914,Sandy clay loam,Sandy clay loam
26543319,79205915,Sandy clay loam,Sandy clay loam
26543319,79205916,Loamy sand,Loamy sand
26543302,79205837,Sandy loam,Sandy loam
26543302,79205838,Clay,Clay
26543314,79205881,Loamy sand,Loamy sand
26543314,79205882,Fine sandy loam,Fine sandy loam
26543314,79205883,Sandy clay,Sandy clay
26543314,79205884,Sandy clay loam,Sandy clay loam
26543314,79205885,Sandy clay loam,Sandy clay loam
26543314,79205886,Sandy clay loam,Sandy clay loam
26543314,79205887,Paragravelly sandy clay loam,Sandy clay loam
26546674,79214971,Loam,Loam
26546674,79214972,Clay loam,Clay loam
26546674,79214973,Sandy loam,Sandy loam
26546674,79214974,Sandy clay loam,Sandy clay loam
26546673,79214970,Fine sandy loam,Fine sandy loam
26546673,79214967,Sandy loam,Sandy loam
26546673,79214968,Sandy loam,Sandy loam
26546673,79214969,Sandy loam,Sandy loam
26546623,79214749,Loam,Loam
26546623,79214750,Loam,Loam
26546623,79214751,Silt loam,Silt loam
26546623,79214752,Silt loam,Silt loam
26546622,79214746,Loam,Loam
26546622,79214747,Sandy clay loam,Sandy clay loam
26546622,79214748,Sandy loam,Sandy loam
26546621,79214743,Silt loam,Silt loam
26546621,79214744,Silty clay,Silty clay
26546621,79214745,Loamy sand,Loamy sand
26546625,79214756,Sandy loam,Sandy loam
26546625,79214757,Sandy clay loam,Sandy clay loam
26546625,79214758,Sandy clay loam,Sandy clay loam
26546646,79214824,Loamy sand,Loamy sand
26546646,79214825,Sandy clay loam,Sandy clay loam
26546646,79214826,Sandy clay loam,Sandy clay loam
26546646,79214827,Sandy clay loam,Sandy clay loam
26546646,79214828,Sandy clay loam,Sandy clay loam
26546670,79214949,Sandy clay,Sandy clay
26546670,79214950,Sandy loam,Sandy loam
