mukey,wtdepannmin,brockdepmin,niccdcd
126171,,,6
126190,,,7
126209,,,3
126210,,,6
126220,,,6
126532,,,6
126536,152,,2
126548,,,4
325105,105,,2
325107,,,3
325113,109,,2
325127,15,,5
325130,84,,2
325132,129,,2
325576,15,,5
325579,46,,2
325583,,,3
325587,105,,2
325593,109,,2
325596,15,,6
325614,,,4
325617,129,,2
325758,15,,6
325759,15,,4
325761,76,,2
325763,,,4
325764,105,,2
325765,105,,2
325766,86,,3
325770,,,2
325773,109,,2
325775,0,,5
325783,,,7
325785,,,4
325793,,,2
325796,,,3
325797,15,,3
325803,,,6
325805,129,,2
325810,,,6
325887,,,3
325888,,,3
325891,,,4
325898,0,,5
325913,,,4
2455411,,,2
2455420,,,2
2455424,,,6
2455430,,,2
2455431,,,3
325992,71,,2
325993,0,,5
325994,,,1
325995,,,2
325996,,,3
325999,15,,5
326000,61,,2
326001,0,,7
326002,15,,6
326003,,,2
326005,153,,1
326009,,,2
326011,15,,5
326012,15,,6
326013,,,1
326019,107,,1
326020,107,,2
326022,,,3
326248,,,3
326255,0,,5
326260,15,,6
326261,,,2
326262,,,3
326264,,,4
326265,,,7
326268,,,1
326269,,,2
326272,122,,2
326274,,,2
326278,107,,1
326279,107,,2
326282,,,3
326283,,,4
326284,,,
334753,15,,6
