mukey,wtdepannmin,brockdepmin,niccdcd
126190,,,7.0
126209,,,3.0
126210,,,6.0
126220,,,6.0
325105,105.0,,2.0
325130,84.0,,2.0
325576,15.0,,5.0
325583,,,3.0
325593,109.0,,2.0
325614,,,4.0
325617,129.0,,2.0
325758,15.0,,6.0
325759,15.0,,4.0
325761,76.0,,2.0
325765,105.0,,2.0
325775,0.0,,5.0
325783,,,7.0
325797,15.0,,3.0
325805,129.0,,2.0
325888,,,3.0
325898,0.0,,5.0
2455431,,,3.0
325993,0.0,,5.0
325995,,,2.0
325996,,,3.0
325999,15.0,,5.0
326000,61.0,,2.0
326001,0.0,,7.0
326009,,,2.0
326012,15.0,,6.0
326020,107.0,,2.0
326022,,,3.0
326255,0.0,,5.0
326260,15.0,,6.0
326265,,,7.0
326268,,,1.0
326272,122.0,,2.0
326279,107.0,,2.0
326282,,,3.0
334753,15.0,,6.0
